username;balances
coSbQHZw;58688,2022
flibkrZr;34744,15780
AfSuWwxg;76725,48037
lcawiHTX;43214,43626
XrdWFsQE;15743,51595
pbuvmvAi;70945,5194
puBdNkZX;27359,31296
WuNGMIfV;45868,82831
ZybxymKr;69129,73829
OVJewirm;53971,1256
MPlzseHE;79008,6336
xjrZgQfh;11970,60494
zWwblnaS;13973,59386
OkHMMawi;65305,76726
gIpyljtx;78479,28457
EJRtYGKa;42713,70585
LzzlORjq;12701,31012
RSCTrChY;68467,67174
DxzLMcpu;68634,8525
xcqgKEdD;28679,36864
pJugUEaV;40937,78667
JtHYuoDl;68680,30296
PqHMAeHp;75824,64407
lIMaUYHN;37923,78305
xIPDTfHx;36194,41205
HXZyPugU;83621,46604
LohrkJlP;75145,39766
sJFoqyaf;44588,70838
QwOEcbGS;30182,28918
TWNppPOD;57406,72128
lwcePcKA;55937,87881
xfOTiLEs;33948,50827
VdklxKOX;39321,87475
zqLVwssx;77301,87960
lJMXjscY;32900,13832
PsiUHBSc;16356,1492
djLjmXLy;50076,23251
tDOCrKfF;52126,12662
hozSlxQp;68627,12326
wvpzXXJm;39860,22514
wtrzyWEJ;13811,88809
ICxjerCr;47994,26736
qGRwFLkA;54185,31493
ZzBNheYe;76081,11732
pkvOOYwK;29155,24975
KVhfbUdW;23757,14032
erTIyxCV;57819,41295
cjKSMNSZ;80040,81353
vfYmNqWh;76323,4063
XktqPnPV;71865,89801
NpUgqCtr;4516,8017
xIvlhzPf;53285,51326
nuDExqKB;32307,82546
TzkTOwqs;81000,2810
aIoofEae;2351,39276
uHUTHKHX;10441,23896
ndlPthng;63313,59596
jDCxQArB;33586,1890
NMOcNLuA;13338,33666
jWVhPcLj;63315,47041
DBYvffrg;16944,20337
GBvMXnro;25435,36336
iqFDKGZA;8685,23878
RhaEXLen;85711,44341
NDfWvtyc;33773,44477
eNspNGxh;81852,53651
WNBpQQKw;54556,14482
CJphswjq;19159,47223
EilhbbJy;23453,61712
nBnNwdgX;87867,21556
hUamDFee;40204,15062
rkPibPTI;63689,43144
fYRjjAOU;43168,21199
SnoGFIFy;27746,3575
LIeKrTMU;7377,10083
DYgiVoQj;82781,63247
OyqRrINm;34906,19953
sswaMvud;22145,42186
xIiPrVYc;13495,11670
vepaRqRh;38660,23772
RwIEMPQu;26942,82025
utMXwnDh;5238,81240
QpGzaBHJ;49444,27344
rrIvBPeA;82676,7714
YBAgzhyH;36545,49265
jbzKVRvP;8011,2725
uZGCnqRj;59182,18647
ZPuEOrZR;87635,12183
IcqhvAYr;44892,85051
oirhqLJF;32999,63738
GqUENgMh;3039,63249
mFfXcrPz;41178,78801
KoyaWDWz;7427,21681
mfHRncZd;64024,79718
SgLpDHPu;17809,64504
ackhxjBC;33162,74005
vAcpuufv;48144,9699
IedaKbIj;64488,78535
sYkErhVq;53731,23609
ETYJHkxi;61606,76197
gwSEQyVw;52878,72559
uRzEYwjR;64939,46213
GxIcJfWc;65406,59622
ZFsexOlg;60916,23886
EsMwlQKF;2823,51515
yDeJxzqV;1738,37999
PSpmcJVJ;39141,12279
qmWyBwTa;71822,19759
RtQMBDJS;23123,39037
gxHIAdkG;53042,28452
JiVHNWzz;80969,69897
yvSldOoa;35988,71197
DSTBNpic;66267,76329
NnShfpFT;6452,16300
rINCbEnJ;59585,49054
WoreFEVW;57937,38182
WLKSULXD;84329,24020
ZHyAZBSa;67372,7969
KOJFdOCR;29202,69217
pIgazEzA;88959,68949
iMAUKDhk;34567,85228
eyPoOvav;45705,86984
rmHIEqxi;1076,62602
wxqrnfXb;6323,28019
npuOnJeE;12479,51173
DTEsiesN;81737,68884
nkbLuzqW;74204,27557
XmiUlHRt;33933,63729
