username;balances
bUabBKmL;21062,85834
qqZPoaap;5475,50220
SUIayglo;33657,6957
nuLIHAdS;8144,32953
kldzWprZ;83177,35965
VrVyOuZP;61732,87222
kEgjGiJE;55096,79372
njSqvvLe;46755,37282
YRcHlpkw;86797,72393
vQUtgbym;87870,70214
SwKsAMXi;71962,67520
agniEDPW;13658,1115
kRCZEXhq;39406,4310
AcijqnaM;76090,12479
CncCCXbP;73423,38622
vnMnFldX;25232,53171
AKXqNFxd;80609,82214
pZeEYiGF;63185,14116
szIKVlPa;20351,5025
mOPcyvlI;54001,45669
bsZBTvSq;7982,82724
lkKlNXdy;78492,4445
PdENbuqF;28182,66544
ItIkmLva;61302,85659
ufjHNjVI;52864,83306
QCVXfske;42969,77772
WbQocFiP;59281,24490
urufbkGd;64575,76763
skfTUTYk;39339,16750
ARLKSRzF;15100,45519
uUbElxAY;61344,71346
qPMAZSvP;53548,47111
IXnrjxgd;45497,7412
ZAdPSqAN;6254,62969
AQDnFlJF;52805,48781
wbUYXNuJ;85671,58226
SSZJmlqU;25084,9004
ZDMKDDyy;6270,54677
EWUScrOM;18346,84112
UNXCSMji;57668,59658
vrbqptpe;15101,69350
zKtJmksD;15781,49818
drAMNKDD;49072,13913
XKAPktNJ;61484,8024
ZkKLYcJd;50643,70199
THirNIGx;12825,21095
czeCNwwF;50967,51282
QCmvNeiP;77914,28748
tMTevGnb;74505,89294
JRUFVLeG;42616,3148
LhujXjOM;56654,71141
HDGVXfhv;7818,37798
avPLbhIc;82679,42493
khnuJNuh;18347,38984
TtXZWSbH;51580,85048
tIjNGRuR;81604,17417
WEGFVmvG;52918,37864
evUVPSnn;75112,17469
KEvllLBI;6468,55551
gCuSBSqm;23646,35052
unxVhArX;7023,4398
oJyjOiMZ;65322,72163
ssEEnBPg;16210,86452
DOBkMARt;18228,37297
ebSyfJOP;13290,17582
JXonNaeN;45680,87282
DxOxHEVP;43902,63425
gXFhLsEO;63807,61929
nzcbwnHl;6023,13403
lFgaKojc;12430,83562
KFCtaJfb;40166,76228
AFZXnGbZ;79527,48031
iMoUWvhl;42143,71393
mfMVZPas;27462,82717
fFmrZCAs;22897,73644
whKloJHc;49396,15276
YjambwsF;57183,79359
QFQNxRJw;62700,59585
iZzkZqgP;1059,89841
sqPeztKo;3341,3453
mGFeEFbV;13865,81372
jjeJWrUo;38107,87228
bLlZujjb;65085,10454
DJgJErKy;31133,61229
QjdhdmTJ;7799,17448
wSmQukqz;85290,12671
QBvRRfqp;29680,74746
pdiLkxcM;26226,72667
nPllwwvP;9033,30820
WmHDPIlb;65295,6923
uoQNHkeU;50049,64503
NEMscaNp;6186,8968
dGUaOYBR;15262,77825
PjHUfyGA;29314,11091
TmBpKJOd;56523,8086
iUnYDhel;3070,51594
rkezdEnN;8342,45770
hKRdUILV;57723,19034
UdEJvvTJ;69343,53324
IwAZIzUf;75380,69648
JgqUOleh;54804,55440
oSRJSkrh;39572,14515
cVRgOrjK;37469,26259
JTvrwjzw;52378,79078
eVjhQCHw;46207,66893
OOlcQBLt;5598,23576
vPvLOeek;39523,27071
OyHGgxGH;72920,45174
EMKZFFRS;71915,36784
HMOvdIVv;49133,2156
LegLddmK;35137,54965
VXHrUpsg;87636,22207
