username;balances
vAcpuufv;48144,9699
IedaKbIj;64488,78535
sYkErhVq;53731,23609
ETYJHkxi;61606,76197
gwSEQyVw;52878,72559
uRzEYwjR;64939,46213
GxIcJfWc;65406,59622
ZFsexOlg;60916,23886
EsMwlQKF;2823,51515
yDeJxzqV;1738,37999
PSpmcJVJ;39141,12279
qmWyBwTa;71822,19759
RtQMBDJS;23123,39037
gxHIAdkG;53042,28452
JiVHNWzz;80969,69897
yvSldOoa;35988,71197
DSTBNpic;66267,76329
NnShfpFT;6452,16300
rINCbEnJ;59585,49054
WoreFEVW;57937,38182
WLKSULXD;84329,24020
ZHyAZBSa;67372,7969
KOJFdOCR;29202,69217
pIgazEzA;88959,68949
iMAUKDhk;34567,85228
eyPoOvav;45705,86984
rmHIEqxi;1076,62602
wxqrnfXb;6323,28019
npuOnJeE;12479,51173
DTEsiesN;81737,68884
nkbLuzqW;74204,27557
XmiUlHRt;33933,63729
